model,SacreBLEU,ChrF++
PBSMT,18.39170204580375,
baseline-mbart,23.399873546653385,40.32292218448049
baseline-mt5,26.158898376215344,46.83602783202516
indo-bart,30.877589629679857,51.09302888892035
indo-gpt2,27.35966337763116,49.247835261917665
copy,23.48909090909091,41.903636363636366
pbsmt,,
word-substitution,23.80272727272727,42.67818181818182
bloomz-1b1,3.1117792205369117,18.341895114918835
bloomz-1b7,5.8110775141445155,22.40254863136995
bloomz-560m,4.399344098831403,20.269916950161306
mt0-base,3.231222752831598,24.60801251714922
mt0-large,2.6259305750262336,23.13847654773717
mt0-small,2.6870293691591276,23.111021447177162
