lang, bleu, chrf++, rougel
abs, 24.34380623081128, 0.5624974966049194, 0.8571428656578064
btk, 16.059825384458357, 0.49181926250457764, 0.43589743971824646
bew, 25.88482355366634, 0.5751749277114868, 0.5185185074806213
bhp, 41.382530945988286, 0.6604235172271729, 0.75
jav, 22.78065885359976, 0.5460311770439148, 0.6233766078948975
mad, 13.846478530438926, 0.47084254026412964, 0.5432098507881165
mak, 10.46217274471158, 0.45187923312187195, 0.3488371968269348
min, 41.05130808354484, 0.7020828723907471, 0.6341463327407837
mui, 27.612375796958688, 0.62098228931427, 0.7272727489471436
rej, 20.939825763040357, 0.5390057563781738, 0.5853658318519592
sun, 30.65889223117765, 0.6058029532432556, 0.8101266026496887
